MAPID;YEAR_CREATED;NAME;STREET_NUMBER;STREET_DIRECTION;STREET_NAME;STREET_TYPE;MERGED_ADDRESS;NUMBER_OF_PLOTS;NUMBER_OF_FOOD_TREES;NOTES;FOOD_TREE_VARIETIES;OTHER_FOOD_ASSETS;JURISDICTION;STEWARD_OR_MANAGING_ORGANIZATION;PUBLIC_E_MAIL;WEBSITE;Geo Local Area;Geom;geo_point_2d
FA001;Pre-2010;0 - Private Developments - Community Shared;;;;;;507;;;;;Private;;;;;;
FA006;2011;Adanac Park Community Garden;1025;;Boundary;Road;1025 Boundary Road, Vancouver, BC;50;8;Some plots are accessible;"1 Early McIntosh Apple; 1 Jonagold apple; 2 italian plum; 2 dwarf anjou pear; 1 hardy evans cherry; 1 hardy juliet cherry";;Park Board;Adanac Community Garden Society;Adanaccommunitygarden@gmail.com;http://adanacparkcommunitygarden.blogspot.ca/;Hastings-Sunrise;"{""coordinates"": [-123.02439453, 49.27558227], ""type"": ""Point""}";49.27558227, -123.02439453
FA013;2012;Brewery Creek Community Garden;2390;;Brunswick;St;2390 Brunswick St, Vancouver, BC;40;11;;"Bramley's seedling apple; cortland apple; early macintosh apple; Jonafree apple; Jonagold apple; Lodi apple; Nova Mac apple; Evans cherry - hardy; Juliet cherry - hardy; Persimmon fuju; van cherry";;Park Board;Urban Diggers Society;brewerycreekgarden@gmail.com;http://brewerycreekgarden.wix.com/home;Mount Pleasant;"{""coordinates"": [-123.09573323, 49.26416489], ""type"": ""Point""}";49.26416489, -123.09573323
FA014;;Burrard View Park;650;N;Penticton;St;650 N Penticton St, Vancouver, BC;0;1;;Cherry;;Park Board;;;;Hastings-Sunrise;"{""coordinates"": [-123.0519175, 49.2912065], ""type"": ""Point""}";49.2912065, -123.0519175
FA015;pre-1970;Callister Park;2875;;Oxford;St;2875 Oxford St, Vancouver, BC;0;4;;Apple;;Park Board;;;;Hastings-Sunrise;"{""coordinates"": [-123.0453833, 49.28618], ""type"": ""Point""}";49.28618, -123.0453833
FA016;2013;Cambie Park Community Garden;500;W;54th;Av;500 W 54th Av, Vancouver, BC;30;;;;;Park Board;Cambie Park Community Gardening Society;southvangreenthumbs@gmail.com;;Oakridge;"{""coordinates"": [-123.1186284, 49.22130853], ""type"": ""Point""}";49.22130853, -123.1186284
FA025;2013;Charleson Park Community Garden;999;;Charleson;St;999 Charleson St, Vancouver, BC;38;;;;;Park Board;False Creek South Neighbourhood Association;charlesongarden@gmail.com;http://www.charlesongarden.ca/;Fairview;"{""coordinates"": [-123.12573796, 49.26776479], ""type"": ""Point""}";49.26776479, -123.12573796
FA036;2008;Cityview Baptist Church;4370;;Sophia;St;4370 Sophia  St, Vancouver, BC;6;1;;Heritage apple;;Private;Neighbours;cityview.community.garden@gmail.com;http://cityviewchurch.ca/;Riley Park;"{""coordinates"": [-123.099148, 49.2459664], ""type"": ""Point""}";49.2459664, -123.099148
FA039;2006;Collingwood Community Gardens;3100;;Vanness;Av;3100 Vanness Av, Vancouver, BC;30;;;;;Translink;Renfrew Collingwood Food Security Institute;foodsecurity@cnh.bc.ca;http://rcfsi.blogspot.ca;Renfrew-Collingwood;"{""coordinates"": [-123.0302, 49.23774], ""type"": ""Point""}";49.23774, -123.0302
FA040;2012;Copley Community Orchard;3590;;Copley;St;3590 Copley St, Vancouver, BC;3;100;;range of varieties of perenial fruit and vegetables;;City;Copley Community Orchard Society;membership@copleycommunityorchard.com;http://www.copleycommunityorchard.com;Kensington-Cedar Cottage;"{""coordinates"": [-123.0578738, 49.2498017], ""type"": ""Point""}";49.2498017, -123.0578738
FA041;1992;Cottonwood Community Garden;857;;Malkin;Av;857 Malkin Av, Vancouver, BC;119;30;Expansion in 2010 - 50 beds with improved accessibility;Apple, cherry, plum, fig, Asian pear, hazelnut, Saskatoon, Satsuma Plum, Pacific Crabapple, Heritage Apples;;Park Board;Strathcona Community Gardeners Society;cottonwoodgarden@gmail.com;https://cottonwood-community-garden.webnode.page/;Strathcona;"{""coordinates"": [-123.08375432, 49.27379855], ""type"": ""Point""}";49.27379855, -123.08375432
FA042;2014;Creekside Community Garden;1;;Athletes;Way;1 Athletes Way, Vancouver, BC;23;10;;;;Park Board;Creekside Community Garden;info@creeksidecommunitygarden.com;http://www.creeksidecommunitygarden.com;Mount Pleasant;"{""coordinates"": [-123.10358615, 49.27222196], ""type"": ""Point""}";49.27222196, -123.10358615
FA045;2009;Davie Village Garden;1157;;Burrard;St;1157 Burrard  St, Vancouver, BC;100;;;;;Private;Vancouver Public Space Network;dvgarden@gmail.com;;West End;"{""coordinates"": [-123.1293018, 49.2795117], ""type"": ""Point""}";49.2795117, -123.1293018
